2025-10-19 11:07:26.850 [info] Started local extension host with pid 5372.
2025-10-19 11:07:27.442 [info] Settings Sync: Account status changed from uninitialized to unavailable
2025-10-19 11:07:29.491 [info] [perf] Render performance baseline is 12ms
2025-10-19 11:07:29.539 [info] Auto updating outdated extensions. ms-vscode.cpptools
2025-10-19 11:35:26.358 [warning] [twxs.cmake]: Cannot register 'cmake.cmakePath'. This property is already registered.
2025-10-19 11:35:26.529 [error] [Extension Host] (node:5372) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
(Use `exe --trace-deprecation ...` to show where the warning was created)
2025-10-19 11:35:29.661 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:30.430 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:30.902 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:32.972 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:33.290 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:52.244 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:54.717 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:56.332 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:57.976 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:35:58.378 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:36:34.583 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:36:47.974 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:36:48.325 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:36:48.971 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:38:39.103 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:38:40.847 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:38:43.088 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:38:49.799 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:39:03.132 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:39:10.884 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:39:11.524 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:39:11.766 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:39:49.510 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:40:05.707 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:40:23.599 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:40:35.859 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:40:39.502 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:40:39.801 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:40:42.487 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:43:04.075 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:43:09.890 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:43:19.337 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:43:35.280 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:48:15.075 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:48:58.316 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:48:58.734 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:48:59.367 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:01.279 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:03.561 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:03.894 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:04.213 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:05.512 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:08.118 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:12.274 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:12.504 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:25.999 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:26.227 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:26.477 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:36.578 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:49:39.326 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:50:57.722 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:51:10.443 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:51:10.776 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:51:18.624 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:51:21.008 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:56:23.142 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:56:24.788 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:56:26.523 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:58:21.113 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:58:44.376 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:58:46.759 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:58:47.937 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:16.662 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:17.713 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:18.918 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:19.276 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:22.453 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:22.669 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:22.826 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:24.926 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:26.047 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:26.356 [warning] [LM] No provider registered for vendor copilot
2025-10-19 11:59:31.060 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:00:34.432 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:28.258 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:33.564 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:33.932 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:34.695 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:36.144 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:36.453 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:36.992 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:44.792 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:52.592 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:53.265 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:53.663 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:01:55.074 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:00.622 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:00.995 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:02.856 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:10.005 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:10.305 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:11.230 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:13.881 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:14.187 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:18.593 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:18.835 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:22.800 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:23.414 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:27.277 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:31.854 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:32.054 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:33.073 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:33.999 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:35.961 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:38.168 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:38.473 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:39.866 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:41.497 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:44.035 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:45.466 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:47.841 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:02:58.094 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:01.084 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:08.982 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:09.280 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:09.474 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:11.931 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:15.538 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:15.812 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:20.891 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:21.690 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:03:26.778 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:07:47.529 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:07:48.119 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:07:54.093 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:07:54.363 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:08.293 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:08.528 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:17.238 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:19.429 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:23.637 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:23.850 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:26.511 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:26.807 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:26.996 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:29.807 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:30.301 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:32.308 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:32.711 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:33.517 [warning] [LM] No provider registered for vendor copilot
2025-10-19 12:08:34.024 [warning] [LM] No provider registered for vendor copilot
